wiek	waga	wzrost	plec	stan_cywilny	liczba_dzieci	budynek	wydatki	oszczednosci
50	61.9	156.31	K	TRUE	2	jednorodzinny	3815.86	841.8
41	72.5	175.24	K	FALSE	2	jednorodzinny	3153.35	252.12
36	95.9	197.02	M	FALSE	1	kamienica	1610.04	408.72
18	52.2	160.49	M	FALSE	1	jednorodzinny	1751.37	-413.2
70	74.4	171.32	K	FALSE	0	wielka_plyta	699.46	2716.79
27	87.1	190.88	M	FALSE	2	jednorodzinny	2476.17	-2.91
36	91.6	207.99	M	TRUE	3	kamienica	2463.53	573.72
32	87.1	182.67	M	FALSE	1	jednorodzinny	2185.78	286.19
27	79.5	176.27	K	FALSE	1	jednorodzinny	1637.69	80.87
28	84.7	177.99	K	FALSE	1	kamienica	2529.65	-306.04
41	76.9	194.82	M	FALSE	1	jednorodzinny	2576.68	540.65
40	75.3	171.62	K	FALSE	2	loft	1687.52	779.37
43	67.9	139.55	K	FALSE	1	kamienica	2469.31	841.2
33	58.3	158.13	K	FALSE	0	jednorodzinny	1852.2	-13.8
44	59	171.91	K	FALSE	2	jednorodzinny	3731.82	531.62
36	86.4	192.56	M	FALSE	2	wielka_plyta	1625.22	254.7
49	54.2	126.29	M	TRUE	5	jednorodzinny	4804.07	888.79
47	68.2	169.66	K	FALSE	2	loft	1904.81	1159.75
32	68.8	176.76	K	TRUE	4	loft	2109.69	528.89
40	68.6	159.11	M	FALSE	2	wielka_plyta	2023.37	460.11
53	61.5	160.54	K	FALSE	0	wielka_plyta	1641.56	1123.55
38	55.7	174.8	K	FALSE	1	kamienica	3268.64	-69.73
32	76.5	172.22	M	FALSE	1	wielka_plyta	2116.52	-122.93
45	69.2	163.18	K	FALSE	0	jednorodzinny	2302.03	810.72
51	56	116.02	M	FALSE	1	kamienica	3141.06	1086.38
36	63.1	166.12	K	FALSE	0	apartament	1758.12	659.63
37	62.1	151.83	K	FALSE	2	jednorodzinny	3117.28	439.23
45	66.9	167.75	M	TRUE	4	apartament	5004.85	693.09
34	66.6	193.12	K	FALSE	2	jednorodzinny	2448.11	273.4
38	72.5	194.26	M	FALSE	0	jednorodzinny	3161.95	-101.22
49	80.5	171.91	K	TRUE	4	wielka_plyta	3833.4	726.47
34	60.9	128.96	M	TRUE	3	jednorodzinny	3049.22	315.55
44	54.1	161.21	M	FALSE	2	kamienica	2932.59	457.45
48	75.1	180.59	M	FALSE	3	wielka_plyta	2605.95	870.6
30	45.3	150.1	K	TRUE	6	jednorodzinny	4515.73	-235.44
38	62.1	145.96	K	FALSE	0	loft	1161.29	535.24
43	53.1	135.91	K	TRUE	2	wielka_plyta	2468.87	388.29
57	75.5	166.97	M	TRUE	3	jednorodzinny	3824.4	1476.85
41	61.8	170.78	M	FALSE	1	kamienica	2752.35	313.98
21	53.4	159.24	K	FALSE	2	jednorodzinny	2157.13	-448.97
49	69.3	175.09	K	TRUE	3	apartament	3944.15	1076.91
40	71.8	161.52	M	FALSE	0	wielka_plyta	984.05	783.56
40	83.5	195.25	K	TRUE	4	kamienica	3354.23	404.58
36	49.1	155.97	K	FALSE	1	apartament	3111.29	100.87
39	48.7	154.2	K	FALSE	0	jednorodzinny	3123.9	-51.48
39	83.3	165.91	NA	FALSE	1	wielka_plyta	1776.39	468.88
36	77.9	183.2	K	FALSE	1	jednorodzinny	1707.01	483.35
51	46	130.78	K	TRUE	1	jednorodzinny	2879.58	1209.24
47	60.4	158.62	M	FALSE	1	kamienica	2929.63	747.2
30	62.1	142.96	M	TRUE	1	kamienica	1738.98	4.75
54	58	179.75	NA	FALSE	1	kamienica	2256.12	1272.93
40	73.9	177.08	NA	TRUE	3	wielka_plyta	3302.99	5.38
34	67.3	190.2	K	FALSE	0	kamienica	1764.24	76.16
35	48	158.97	M	TRUE	1	loft	1392.08	444.85
66	53.8	148.31	M	FALSE	0	jednorodzinny	2472.52	2028.78
31	45.3	130.12	K	FALSE	1	wielka_plyta	1541.96	-62.72
41	54.1	154.17	M	FALSE	2	kamienica	3619.24	192.02
47	54.6	167.08	M	FALSE	0	loft	1022.07	1243.12
41	59.3	127.37	K	FALSE	0	jednorodzinny	2584.63	366.98
30	61.3	158.16	K	FALSE	2	jednorodzinny	3042.24	-45.62
44	60.5	164.25	M	FALSE	1	wielka_plyta	2268.82	463.24
38	57.7	153.75	K	TRUE	3	kamienica	3028.63	422.69
36	55.7	163.7	M	FALSE	1	jednorodzinny	3062.21	-48.09
42	47.4	140.13	M	FALSE	1	jednorodzinny	2965.06	430.49
32	78.2	175.85	M	TRUE	4	wielka_plyta	3090.81	-174.93
39	57.5	155.45	K	TRUE	3	apartament	3742.7	267.38
50	63	175.92	K	TRUE	4	wielka_plyta	2865.35	1104.29
51	65.9	180.28	K	FALSE	1	wielka_plyta	1601.37	1101.76
35	93.4	212.1	M	TRUE	2	jednorodzinny	2515.7	393.94
37	57.4	169.16	K	TRUE	2	jednorodzinny	3229.58	164.98
50	53.8	156.9	K	FALSE	2	loft	2127.51	1300.74
42	71	185.48	K	FALSE	1	jednorodzinny	2360.07	804.45
57	75.3	156.4	M	TRUE	4	kamienica	3879.47	1515.69
44	63.4	152.48	M	FALSE	1	apartament	2640.04	979.01
49	56.8	163.33	M	TRUE	4	jednorodzinny	3994.33	831.55
32	68.9	187.91	M	FALSE	1	jednorodzinny	2411.3	96.02
26	77.4	190.91	K	FALSE	1	jednorodzinny	2119.32	-160.21
44	59.6	177.11	K	FALSE	0	kamienica	2781	171.03
50	64.3	159.98	M	TRUE	3	jednorodzinny	3977.12	863.72
33	52.3	134.36	M	FALSE	1	jednorodzinny	3011.36	-5.35
51	56.1	144.28	NA	TRUE	3	wielka_plyta	2644.44	1143.32
35	76.3	185.63	K	FALSE	1	loft	1291.16	935.14
36	59.6	167.66	M	FALSE	2	wielka_plyta	1684.93	430.43
43	65.5	150.03	M	TRUE	0	apartament	2758.93	686.73
44	64	187.21	M	TRUE	2	kamienica	2876.33	697.6
58	49.1	156.38	NA	FALSE	0	kamienica	2822.35	1397.54
52	76.7	177.59	M	FALSE	0	wielka_plyta	1138.79	1164.14
33	86.4	199.55	M	FALSE	1	wielka_plyta	930.36	332.19
36	67.8	155.82	K	TRUE	2	jednorodzinny	3425.44	-120.08
23	59.2	150.84	K	FALSE	2	jednorodzinny	1795.56	-160.84
30	63.8	162.64	K	FALSE	0	jednorodzinny	1711.01	92.3
38	77.5	206.77	K	FALSE	0	loft	524.94	941.11
38	78	183.53	K	TRUE	2	jednorodzinny	4040.26	-66.44
35	77.2	182.29	M	FALSE	1	wielka_plyta	2262.08	-130
56	65.4	170.87	M	FALSE	0	apartament	2034.38	1837.79
24	51.4	158.12	M	FALSE	1	jednorodzinny	2382.53	-488.53
47	69	182.92	NA	FALSE	2	jednorodzinny	3008.17	1000.78
32	69.6	165.55	NA	FALSE	1	loft	1304.92	655.03
36	58.8	182.21	M	FALSE	2	wielka_plyta	2135.61	236.99
37	75.1	181.54	M	FALSE	1	jednorodzinny	2744.21	55.18
49	67.6	153.63	M	FALSE	2	wielka_plyta	2281.41	1046.94
30	70.3	176.49	M	TRUE	3	wielka_plyta	2477.54	-199.12
27	66.6	172.15	NA	FALSE	1	jednorodzinny	2609.06	-406.44
36	78.5	181.25	NA	TRUE	1	jednorodzinny	2252.16	296.1
34	65	142.91	NA	FALSE	0	loft	800.03	547.61
40	87.9	192.59	M	FALSE	0	wielka_plyta	1065.72	639.59
42	55.8	139.34	K	FALSE	0	jednorodzinny	2948.55	406.96
46	49.9	160.49	K	FALSE	1	loft	766.6	1461.61
44	51.7	139.27	K	TRUE	1	jednorodzinny	3433.52	485.5
31	62.7	162.38	M	FALSE	1	wielka_plyta	2314.05	-439.69
36	70	171.62	M	FALSE	1	jednorodzinny	2322.04	191.5
46	87.8	162.81	K	FALSE	3	jednorodzinny	4200.96	876.91
36	64.5	157.54	K	FALSE	0	wielka_plyta	1565.88	252.73
32	59	146.72	K	FALSE	2	jednorodzinny	2438.82	116.45
33	75.5	196.57	M	FALSE	1	wielka_plyta	1461.41	274.61
34	56.5	153.32	K	FALSE	0	kamienica	2079.34	-36.25
22	59.4	151.93	M	FALSE	1	wielka_plyta	1137.63	-622.7
34	72	175.57	K	FALSE	1	wielka_plyta	1056.33	399.75
31	56.2	163.35	M	TRUE	5	wielka_plyta	3101.13	-106.04
44	57.8	157.03	NA	TRUE	5	kamienica	4538.32	601.94
32	68.6	179.52	M	FALSE	0	wielka_plyta	1136.2	-64.66
33	57.3	116.17	K	FALSE	0	wielka_plyta	1661.82	-119.16
23	75.5	146.13	K	TRUE	1	apartament	2610.69	-345.23
35	55.7	176.28	NA	FALSE	1	jednorodzinny	2433.8	155.46
41	58.5	144.63	M	FALSE	1	apartament	2664.15	801.6
48	64.4	149.21	NA	FALSE	1	wielka_plyta	1798.34	810.83
37	70.5	198.73	K	TRUE	4	kamienica	3455.88	178.57
40	75.6	158.41	M	FALSE	0	jednorodzinny	1935.88	639.05
41	58.3	171.89	K	TRUE	3	wielka_plyta	3175.3	106.38
33	75.4	169.15	K	FALSE	0	wielka_plyta	1394.69	171.04
44	55.4	161.92	K	FALSE	2	wielka_plyta	2669.61	496.69
36	68.3	184.83	M	TRUE	4	kamienica	4044.82	-14.76
26	45.2	134.94	K	TRUE	3	jednorodzinny	2841.45	-289.22
35	65.4	149.85	M	TRUE	3	kamienica	3048.05	208.51
31	61	157.94	NA	TRUE	2	apartament	3380.07	-1.19
27	53.9	170.01	NA	TRUE	5	wielka_plyta	2942.97	-247.84
40	64.6	156.25	K	FALSE	0	loft	1126.24	633.35
29	76	200.15	K	TRUE	0	kamienica	1860.75	-255.12
40	58.5	154.98	K	TRUE	2	jednorodzinny	3295.78	506.38
40	73.1	158.35	M	FALSE	1	wielka_plyta	2014.14	333.98
35	63	149.32	K	TRUE	4	apartament	4354.24	243.15
36	71.1	171.19	M	FALSE	1	jednorodzinny	2231.34	417.12
29	80.7	185.94	M	FALSE	1	wielka_plyta	780.09	344.35
41	50.8	130.42	M	TRUE	3	jednorodzinny	3847.5	408.45
29	72.6	185.71	M	TRUE	1	apartament	2050.7	180.81
43	75.3	178.3	K	FALSE	1	wielka_plyta	1372.45	802.71
42	70.6	160.72	NA	TRUE	2	wielka_plyta	1549.37	927.15
39	51.2	132.63	K	TRUE	3	kamienica	3545.68	188.05
22	67.4	174.97	K	TRUE	5	wielka_plyta	1616.37	-19.35
45	86.5	204.5	NA	FALSE	0	kamienica	1882.7	773.91
37	96.3	199.27	K	TRUE	0	apartament	1679.53	678.01
32	84.9	190.34	M	FALSE	0	wielka_plyta	1334.97	-68.76
43	53.7	151.72	M	TRUE	3	apartament	2880.12	1011.89
49	67.2	138.82	K	TRUE	0	jednorodzinny	2737.24	943.88
43	60.3	113.59	M	TRUE	4	jednorodzinny	4644.05	429.39
48	63.4	170.57	K	FALSE	1	jednorodzinny	2260.91	1131.73
54	73.3	168.72	K	FALSE	0	jednorodzinny	2761.55	1355.21
33	64.1	154.62	K	FALSE	0	jednorodzinny	2458.53	-185.25
40	72.9	168.93	M	TRUE	1	kamienica	2760.65	290.87
48	95.3	216.19	K	TRUE	4	apartament	3492	1298.78
39	53.3	131.16	M	FALSE	1	wielka_plyta	1765.13	457.37
30	74.8	165.31	K	FALSE	0	jednorodzinny	1725.17	52.22
39	54.2	149.15	K	TRUE	6	wielka_plyta	4418.08	97.76
35	64.6	191.25	K	FALSE	1	wielka_plyta	1372.06	212.46
38	79.2	180.37	NA	FALSE	2	jednorodzinny	3962.56	36.96
27	73.3	174.82	K	TRUE	3	jednorodzinny	2905.21	-203.9
24	87.7	177.65	M	FALSE	2	jednorodzinny	2864.72	-400.4
31	49.1	117.82	K	FALSE	3	wielka_plyta	1533	151.12
31	58.8	167.98	M	FALSE	0	jednorodzinny	1881.14	-1.16
34	76.8	197.98	K	FALSE	0	wielka_plyta	1121.77	301.6
57	78.7	193.63	M	FALSE	1	kamienica	2687.99	1419.5
38	71.5	149.08	M	FALSE	0	apartament	2846.02	321.29
33	56	124.84	M	FALSE	1	apartament	2804.38	117.15
47	60.3	145.84	K	FALSE	1	wielka_plyta	2966.1	408.22
40	72.7	177.87	M	FALSE	3	kamienica	2964.07	656.88
32	98.1	216.07	K	TRUE	3	wielka_plyta	2200.53	19.37
40	75.8	178.86	M	FALSE	1	apartament	2471.72	749.01
34	58.2	157.2	K	TRUE	2	loft	1181.64	574.28
28	73.7	173.58	K	FALSE	0	loft	789.9	95.23
53	64.1	160.4	NA	TRUE	1	jednorodzinny	2031.52	1595.48
38	53.2	163.37	M	FALSE	0	kamienica	2721.83	-189
47	83.5	181.8	M	FALSE	0	loft	1426.08	1125.14
38	68	155.93	K	FALSE	0	jednorodzinny	2421.9	288.98
38	68.5	163.12	K	TRUE	4	apartament	4090.26	403.44
34	64.2	180.35	K	FALSE	0	kamienica	2539.3	-130.77
40	67.5	175.18	M	FALSE	0	kamienica	2493.33	389.91
40	53.5	154.49	K	FALSE	3	jednorodzinny	4001.15	342.94
51	68.1	169.14	K	TRUE	3	kamienica	3128.78	991.02
36	46.3	137.66	K	TRUE	2	wielka_plyta	2558.39	32.81
61	70.2	155.12	K	TRUE	3	kamienica	3059.06	1947.12
24	59.8	159.14	K	FALSE	0	loft	1428.65	23.51
59	79	188.08	K	FALSE	0	wielka_plyta	1323.44	1814.07
58	70.7	193.64	K	FALSE	1	wielka_plyta	1601.2	1563.87
40	56.2	128.02	M	FALSE	0	jednorodzinny	2585.55	445.76
27	86.5	209.1	K	TRUE	3	jednorodzinny	2860.95	-129.8
29	46.3	159.5	M	FALSE	2	wielka_plyta	1719.81	-51.2
43	58.5	160.16	M	TRUE	1	kamienica	2568.56	430.04
41	78.1	188.71	K	FALSE	3	kamienica	3016.42	639.39
49	48.8	145.43	NA	FALSE	1	wielka_plyta	1886.49	1128.18
34	48	139.07	M	FALSE	4	kamienica	3669.98	-132.93
34	67.7	170.3	M	FALSE	0	apartament	2940.72	-117.97
39	107.2	235.25	K	TRUE	2	kamienica	2486.38	493.57
32	81.6	167.73	K	FALSE	0	jednorodzinny	2831.02	-215.97
38	100.7	212.08	M	TRUE	1	kamienica	2175.78	383.82
38	70	170.9	M	FALSE	0	loft	1134.97	886.36
50	73.9	182.9	K	FALSE	1	loft	966.44	1504.63
42	70.8	191.3	M	FALSE	0	jednorodzinny	2314.59	538.01
36	84.3	213.31	M	TRUE	0	apartament	1154.76	721.23
41	60.3	167.47	M	FALSE	2	wielka_plyta	2354.37	267.02
37	69.4	158.17	K	FALSE	2	apartament	3594.67	427.07
32	69.9	169.17	NA	FALSE	0	kamienica	1489.5	37.52
36	73.3	169.42	K	FALSE	2	jednorodzinny	3199.3	85.2
48	69.4	160.13	K	TRUE	2	apartament	2896.62	1231.73
47	76.5	177.26	K	TRUE	3	kamienica	3226.17	1046.46
32	84.7	172.33	M	FALSE	2	kamienica	1972.92	253.37
46	71.3	171.95	K	FALSE	1	kamienica	2257.91	985.85
51	51.3	117.05	K	FALSE	1	jednorodzinny	2737.19	1274.07
51	71.8	165.47	K	FALSE	1	jednorodzinny	2615.21	1034.2
27	72.1	177.54	K	FALSE	1	wielka_plyta	2024.03	-611.64
28	62.4	147.07	M	FALSE	1	kamienica	1442.88	-68.73
29	73.1	169.5	K	FALSE	0	loft	729.69	183.9
26	61.5	173.77	K	TRUE	4	wielka_plyta	2642.65	-444.72
41	72.8	175.33	M	FALSE	0	jednorodzinny	3387.34	-212.38
42	69.6	171.17	K	FALSE	0	jednorodzinny	2693.26	482.61
35	72.7	174.73	NA	TRUE	2	jednorodzinny	3105.14	61.49
38	64.3	170.9	NA	FALSE	1	wielka_plyta	1436.73	429.26
52	69.9	181.3	M	TRUE	1	jednorodzinny	2787.36	1122.07
21	63.2	168.3	M	TRUE	3	jednorodzinny	2848.47	-508.33
60	80.2	154.25	K	TRUE	2	apartament	3329.49	2005.84
29	63	141.01	K	TRUE	3	kamienica	3207.39	-180.93
40	104.1	209.99	M	FALSE	1	jednorodzinny	1683.5	856.4
35	68	138.37	M	FALSE	1	loft	2153.04	274.87
56	68.9	167.17	M	FALSE	1	kamienica	2549.14	1416.73
42	56.8	171.49	K	FALSE	1	kamienica	2068.69	630.19
34	66	180.07	K	FALSE	0	apartament	2200.67	115.63
32	81.7	197.98	M	TRUE	3	jednorodzinny	3047.48	85.88
38	61.8	163.7	K	FALSE	2	jednorodzinny	2735.13	417.9
39	69.5	189.26	K	TRUE	2	kamienica	3100.52	61.51
56	65.1	150.51	K	FALSE	0	jednorodzinny	2251.26	1785.13
38	71.2	173.62	M	FALSE	1	jednorodzinny	2113.13	521.87
40	54.5	165.07	K	FALSE	0	wielka_plyta	1375.51	257.26
35	64.8	160.81	M	FALSE	0	jednorodzinny	2646.34	-89.09
33	74.9	141.16	K	FALSE	1	loft	1809.35	314.25
42	79.5	174.91	M	FALSE	1	jednorodzinny	2535.35	726.2
43	55.9	167.58	K	TRUE	1	jednorodzinny	3188.32	565.07
39	63.9	145.64	K	TRUE	3	loft	1606.48	922.71
24	85	199.76	M	FALSE	0	jednorodzinny	861.34	84.04
59	64.3	173.94	M	TRUE	3	jednorodzinny	3282.7	1682.58
44	82.6	182.65	NA	FALSE	2	loft	2350.08	858.6
30	63.1	171.56	K	FALSE	0	wielka_plyta	1314	-157.01
39	76.8	167.75	M	FALSE	3	kamienica	3577.53	133.64
30	82.3	161.01	M	FALSE	1	kamienica	2301.25	-135.66
44	57	171.88	M	TRUE	4	jednorodzinny	4803.53	79.46
47	48.7	158.67	M	FALSE	0	jednorodzinny	2472.7	845.61
39	67.3	135.72	K	TRUE	3	jednorodzinny	4681.19	-35.09
25	45.2	141.29	NA	FALSE	3	loft	1167.24	299.4
17	84.4	165.18	M	FALSE	0	loft	865.98	-64.55
59	78.2	190.71	K	TRUE	4	jednorodzinny	4261.21	1612.32
42	69.7	143.26	K	FALSE	1	apartament	3244.93	463.71
43	60.1	139.18	K	FALSE	0	jednorodzinny	2296.65	740.01
36	65.7	177.22	K	FALSE	1	kamienica	2152.66	293.74
41	82.6	150.53	M	FALSE	0	wielka_plyta	1297.23	551.25
30	86.2	183.28	NA	FALSE	2	jednorodzinny	2603.52	53.28
40	61.8	178.74	K	TRUE	1	wielka_plyta	2439.25	208.31
38	70.7	186.83	M	FALSE	2	kamienica	3350.3	45.84
70	65.8	168.43	M	TRUE	3	jednorodzinny	2594.33	2701.63
40	46.6	142.26	M	TRUE	1	loft	1262.07	843.4
48	85.4	200.52	K	FALSE	0	apartament	1485.14	1340.63
30	85.5	200.48	K	FALSE	2	wielka_plyta	1500.98	65.62
45	55.6	166.06	M	FALSE	1	kamienica	2646.14	749.24
31	62.9	151.75	K	FALSE	2	jednorodzinny	4128.59	-456.18
35	76.4	185.58	K	TRUE	3	kamienica	3167.45	111.95
36	74.6	186.72	M	FALSE	1	jednorodzinny	2785.51	76.35
49	83.2	193.25	M	FALSE	1	jednorodzinny	2739.54	1036.46
42	78.7	184.64	K	FALSE	0	jednorodzinny	1565.69	953.19
38	48.2	160.38	NA	FALSE	0	jednorodzinny	2081.42	572.44
48	65.8	149.64	K	FALSE	0	loft	654.43	1454.61
46	80.5	198.17	M	TRUE	4	loft	2829.21	1148.09
48	75.6	170.41	K	FALSE	0	jednorodzinny	3039.66	761.41
38	66.8	162.17	M	FALSE	2	wielka_plyta	2350.14	279.31
37	60.2	165.91	M	FALSE	2	kamienica	3329.75	-9.1
53	60.4	157.75	K	FALSE	0	wielka_plyta	1076.62	1358.36
38	78.4	162.87	M	FALSE	1	kamienica	2296.44	482.89
29	81.3	203.08	K	FALSE	0	jednorodzinny	1564.03	180.52
58	74	179.2	K	FALSE	1	jednorodzinny	2424.73	1878.92
37	59.9	170.17	K	FALSE	0	kamienica	2201.21	135.4
57	74.9	169.67	M	FALSE	0	kamienica	2257.37	1455.37
44	65.8	155.2	K	FALSE	2	loft	2308.07	868.83
34	93.7	188.94	NA	TRUE	4	jednorodzinny	3729.88	167.41
50	60	169	K	TRUE	2	wielka_plyta	2283.19	1079.87
52	76.7	179.23	M	TRUE	3	loft	1855.11	1670.33
38	53.6	146.85	M	FALSE	1	jednorodzinny	2775.94	340.39
25	70.5	178.43	K	TRUE	1	jednorodzinny	2880.07	-685.68
29	81.1	166.67	M	TRUE	3	jednorodzinny	3483.72	-197.41
50	66.8	177.96	M	TRUE	3	kamienica	3245.44	1255.61
41	60	155.71	K	TRUE	4	jednorodzinny	3922.6	556.9
39	56.9	152.77	K	TRUE	2	kamienica	2511.43	509.44
42	57.6	153.33	K	FALSE	0	apartament	2206.74	827.35
36	60.2	173.33	M	FALSE	0	jednorodzinny	1779.9	265.97
35	65.7	166.96	M	FALSE	1	kamienica	2116.88	240.9
42	58.6	181.71	M	FALSE	1	loft	867.71	890.7
39	66.6	142.65	K	TRUE	1	loft	1791.43	501.75
37	62.1	159.09	M	TRUE	2	kamienica	3077.94	115.16
44	69.1	175.38	M	FALSE	2	kamienica	2914.12	641.58
50	91.5	188.19	K	FALSE	1	kamienica	2108.6	1152
35	75.6	164.91	K	TRUE	3	wielka_plyta	2070.39	265.53
34	54.4	148.44	K	TRUE	3	kamienica	3526.36	-168.06
26	65.5	171.12	K	FALSE	1	jednorodzinny	1758.46	29.36
47	66	180.86	M	TRUE	3	jednorodzinny	3216.75	969.89
38	59.2	161.46	M	FALSE	1	loft	916.47	713.82
38	65.3	151.38	M	TRUE	4	jednorodzinny	3386.24	562.36
34	80.5	174.04	M	FALSE	2	apartament	3154.02	255.92
31	68.6	178.92	M	TRUE	1	kamienica	2017.7	-41.87
50	57.6	174.72	K	FALSE	1	apartament	2469.69	1355.74
34	56.3	166.39	M	TRUE	4	apartament	4583.04	-26.28
45	50.3	167.94	M	FALSE	2	jednorodzinny	3040.7	642.64
23	98.8	221.8	M	FALSE	1	apartament	1552.73	-76.19
58	75.1	202.55	M	TRUE	2	jednorodzinny	2829.2	1625.95
38	63.1	168.78	M	TRUE	3	jednorodzinny	3232.6	363.35
33	59.8	154.95	M	FALSE	1	loft	996.58	343.93
43	69.7	178.95	M	TRUE	3	wielka_plyta	1472.6	1048.62
29	65.7	161.64	M	FALSE	2	wielka_plyta	1696.25	-77.37
33	82.6	214.65	M	FALSE	2	jednorodzinny	2191.64	416.54
49	62.7	175.35	K	TRUE	6	kamienica	5103.7	643.59
47	51.7	116.21	M	TRUE	2	wielka_plyta	2553.02	780.93
40	74.3	173.51	K	TRUE	1	kamienica	1585.68	805.59
42	98.5	188.07	M	FALSE	2	jednorodzinny	3916.92	129.23
55	78.1	183.56	M	FALSE	0	jednorodzinny	2436.5	1318.73
44	69.4	174.98	K	TRUE	2	kamienica	3110.48	669.29
37	46.8	137.6	M	FALSE	0	jednorodzinny	2535.81	96.97
52	58.1	170.47	K	TRUE	3	loft	2295.15	1423.05
28	52.5	162.41	M	TRUE	2	wielka_plyta	1768.28	-233.64
55	56.7	152.87	K	FALSE	0	jednorodzinny	2899.5	1126.48
38	57.2	154.72	K	TRUE	3	jednorodzinny	3640.96	163.24
31	67.3	174.5	K	FALSE	0	jednorodzinny	2273.8	7.07
45	49.3	157.76	M	FALSE	1	jednorodzinny	2913.74	751.6
54	71.8	182.99	K	FALSE	0	wielka_plyta	2315.15	936.35
35	79.9	182.43	M	FALSE	1	jednorodzinny	3043.52	-28.03
40	86.6	200.25	M	TRUE	5	wielka_plyta	3461.19	299.5
30	70.3	181.56	M	FALSE	1	jednorodzinny	2056.58	-37.45
48	55.9	169.93	K	FALSE	1	loft	2194.48	969.94
45	49.5	145.34	K	FALSE	1	jednorodzinny	2744.37	802.77
39	91.8	198.35	M	FALSE	0	kamienica	1811.96	519.24
44	69.1	157.88	M	FALSE	1	kamienica	2755.63	424.15
39	56.1	147.55	M	FALSE	3	apartament	4031.22	348.2
41	89.8	200.41	K	TRUE	2	wielka_plyta	3041	148.48
29	77.8	159.95	K	FALSE	2	kamienica	2528.79	-145.24
37	57.6	154.2	K	TRUE	3	jednorodzinny	4312.12	-70.01
37	52.1	132.67	K	TRUE	2	wielka_plyta	2186.01	283.99
45	62.3	144.92	K	TRUE	5	kamienica	4628.01	574.24
45	74.7	180.31	K	FALSE	1	wielka_plyta	2474.24	333.44
25	61.2	165.09	M	FALSE	0	apartament	1825.89	-127.62
35	64.8	171.86	M	FALSE	1	jednorodzinny	3201.22	-119.93
40	58.7	147.92	NA	TRUE	3	kamienica	2918.32	614.8
32	70.6	150.74	K	FALSE	0	jednorodzinny	2418.43	14.13
39	77.6	148.24	M	TRUE	5	jednorodzinny	5574.63	-100.8
39	72.7	161.35	K	FALSE	1	jednorodzinny	2934.92	358.96
46	58.5	143.67	K	FALSE	1	jednorodzinny	2733.16	942.43
32	60.4	151.88	K	TRUE	1	loft	865	472.25
42	65	180.48	K	TRUE	2	jednorodzinny	3181.44	622.01
45	68.8	178.63	M	FALSE	1	jednorodzinny	2071.33	1105.88
33	68	187.17	M	TRUE	1	wielka_plyta	1391.17	5.2
38	51.3	156.31	K	FALSE	1	jednorodzinny	2938.79	104.13
